SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
3MINDIA,"(18989.0, 19203.7, 174)","(19203.7, 19418.4, 65)","(19418.4, 19633.1, 85)","(19633.1, 19847.8, 158)","(19847.8, 20062.5, 182)","(20062.5, 20277.2, 300)","(20277.2, 20491.9, 598)","(20491.9, 20706.6, 1022)","(20706.6, 20921.3, 250)","(20921.3, 21136.0, 37)","(20491.9, 20706.6, 1022)"
8KMILES,"(625.0, 647.7, 126)","(647.7, 670.4, 226)","(670.4, 693.1, 747)","(693.1, 715.8, 1011)","(715.8, 738.5, 375)","(738.5, 761.2, 606)","(761.2, 783.9, 150)","(783.9, 806.6, 256)","(806.6, 829.3, 180)","(829.3, 852.0, 25)","(693.1, 715.8, 1011)"
ABB,"(1220.0, 1249.3, 183)","(1249.3, 1278.6, 782)","(1278.6, 1307.9, 1346)","(1307.9, 1337.2, 229)","(1337.2, 1366.5, 477)","(1366.5, 1395.8, 188)","(1395.8, 1425.1, 87)","(1425.1, 1454.4, 316)","(1454.4, 1483.7, 54)","(1483.7, 1513.0, 36)","(1278.6, 1307.9, 1346)"
ACC,"(1400.0, 1422.3, 133)","(1422.3, 1444.6, 43)","(1444.6, 1466.9, 66)","(1466.9, 1489.2, 68)","(1489.2, 1511.5, 133)","(1511.5, 1533.8, 728)","(1533.8, 1556.1, 1051)","(1556.1, 1578.4, 784)","(1578.4, 1600.7, 476)","(1600.7, 1623.0, 226)","(1533.8, 1556.1, 1051)"
AIAENG,"(1348.0, 1374.1, 146)","(1374.1, 1400.2, 293)","(1400.2, 1426.3, 1549)","(1426.3, 1452.4, 961)","(1452.4, 1478.5, 212)","(1478.5, 1504.6, 10)","(1504.6, 1530.7, 22)","(1530.7, 1556.8, 4)","(1556.8, 1582.9, 6)","(1582.9, 1609.0, 15)","(1400.2, 1426.3, 1549)"
APLAPOLLO,"(1830.0, 1872.0, 16)","(1872.0, 1914.0, 240)","(1914.0, 1956.0, 363)","(1956.0, 1998.0, 360)","(1998.0, 2040.0, 457)","(2040.0, 2082.0, 102)","(2082.0, 2124.0, 476)","(2124.0, 2166.0, 569)","(2166.0, 2208.0, 796)","(2208.0, 2250.0, 8)","(2166.0, 2208.0, 796)"
AUBANK,"(568.0, 586.0, 849)","(586.0, 604.0, 262)","(604.0, 622.0, 76)","(622.0, 640.0, 267)","(640.0, 658.0, 460)","(658.0, 676.0, 652)","(676.0, 694.0, 337)","(694.0, 712.0, 466)","(712.0, 730.0, 265)","(730.0, 748.0, 35)","(568.0, 586.0, 849)"
AARTIIND,"(1052.0, 1082.8, 134)","(1082.8, 1113.6, 102)","(1113.6, 1144.4, 211)","(1144.4, 1175.2, 950)","(1175.2, 1206.0, 407)","(1206.0, 1236.8, 88)","(1236.8, 1267.6, 164)","(1267.6, 1298.4, 78)","(1298.4, 1329.2, 1247)","(1329.2, 1360.0, 234)","(1298.4, 1329.2, 1247)"
ABAN,"(155.0, 158.1, 222)","(158.1, 161.2, 562)","(161.2, 164.3, 741)","(164.3, 167.4, 513)","(167.4, 170.5, 284)","(170.5, 173.6, 445)","(173.6, 176.7, 549)","(176.7, 179.8, 219)","(179.8, 182.9, 121)","(182.9, 186.0, 49)","(161.2, 164.3, 741)"
ADANIPORTS,"(351.0, 357.5, 142)","(357.5, 364.0, 221)","(364.0, 370.5, 409)","(370.5, 377.0, 250)","(377.0, 383.5, 660)","(383.5, 390.0, 624)","(390.0, 396.5, 287)","(396.5, 403.0, 182)","(403.0, 409.5, 442)","(409.5, 416.0, 496)","(377.0, 383.5, 660)"
ADANIPOWER,"(21.0, 22.1, 133)","(22.1, 23.2, 91)","(23.2, 24.3, 391)","(24.3, 25.4, 934)","(25.4, 26.5, 1630)","(26.5, 27.6, 248)","(27.6, 28.7, 173)","(28.7, 29.8, 32)","(29.8, 30.9, 32)","(30.9, 32.0, 40)","(25.4, 26.5, 1630)"
ADANITRANS,"(130.0, 137.5, 93)","(137.5, 145.0, 21)","(145.0, 152.5, 45)","(152.5, 160.0, 73)","(160.0, 167.5, 540)","(167.5, 175.0, 771)","(175.0, 182.5, 842)","(182.5, 190.0, 606)","(190.0, 197.5, 493)","(197.5, 205.0, 222)","(175.0, 182.5, 842)"
ABCAPITAL,"(144.0, 146.2, 111)","(146.2, 148.4, 504)","(148.4, 150.6, 237)","(150.6, 152.8, 375)","(152.8, 155.0, 571)","(155.0, 157.2, 427)","(157.2, 159.4, 863)","(159.4, 161.6, 521)","(161.6, 163.8, 93)","(163.8, 166.0, 4)","(157.2, 159.4, 863)"
ABFRL,"(134.0, 136.5, 51)","(136.5, 139.0, 158)","(139.0, 141.5, 215)","(141.5, 144.0, 319)","(144.0, 146.5, 795)","(146.5, 149.0, 1216)","(149.0, 151.5, 713)","(151.5, 154.0, 200)","(154.0, 156.5, 11)","(156.5, 159.0, 1)","(146.5, 149.0, 1216)"
ADVENZYMES,"(207.0, 212.7, 130)","(212.7, 218.4, 377)","(218.4, 224.1, 683)","(224.1, 229.8, 497)","(229.8, 235.5, 492)","(235.5, 241.2, 618)","(241.2, 246.9, 253)","(246.9, 252.6, 432)","(252.6, 258.3, 114)","(258.3, 264.0, 95)","(218.4, 224.1, 683)"
AEGISCHEM,"(227.0, 234.3, 59)","(234.3, 241.6, 181)","(241.6, 248.9, 532)","(248.9, 256.2, 393)","(256.2, 263.5, 287)","(263.5, 270.8, 196)","(270.8, 278.1, 153)","(278.1, 285.4, 866)","(285.4, 292.7, 836)","(292.7, 300.0, 66)","(278.1, 285.4, 866)"
AJANTPHARM,"(1039.0, 1080.9, 315)","(1080.9, 1122.8, 51)","(1122.8, 1164.7, 186)","(1164.7, 1206.6, 86)","(1206.6, 1248.5, 60)","(1248.5, 1290.4, 28)","(1290.4, 1332.3, 176)","(1332.3, 1374.2, 1050)","(1374.2, 1416.1, 1675)","(1416.1, 1458.0, 73)","(1374.2, 1416.1, 1675)"
AKZOINDIA,"(1742.0, 1767.2, 344)","(1767.2, 1792.4, 343)","(1792.4, 1817.6, 293)","(1817.6, 1842.8, 136)","(1842.8, 1868.0, 30)","(1868.0, 1893.2, 38)","(1893.2, 1918.4, 369)","(1918.4, 1943.6, 1209)","(1943.6, 1968.8, 254)","(1968.8, 1994.0, 85)","(1918.4, 1943.6, 1209)"
APLLTD,"(472.0, 481.8, 61)","(481.8, 491.6, 206)","(491.6, 501.4, 151)","(501.4, 511.2, 577)","(511.2, 521.0, 245)","(521.0, 530.8, 337)","(530.8, 540.6, 674)","(540.6, 550.4, 913)","(550.4, 560.2, 169)","(560.2, 570.0, 1)","(540.6, 550.4, 913)"
ALKEM,"(1744.0, 1796.9, 612)","(1796.9, 1849.8, 161)","(1849.8, 1902.7, 240)","(1902.7, 1955.6, 474)","(1955.6, 2008.5, 642)","(2008.5, 2061.4, 331)","(2061.4, 2114.3, 273)","(2114.3, 2167.2, 276)","(2167.2, 2220.1, 402)","(2220.1, 2273.0, 254)","(1955.6, 2008.5, 642)"
ALBK,"(37.0, 38.9, 58)","(38.9, 40.8, 64)","(40.8, 42.7, 25)","(42.7, 44.6, 126)","(44.6, 46.5, 326)","(46.5, 48.4, 913)","(48.4, 50.3, 1130)","(50.3, 52.2, 563)","(52.2, 54.1, 357)","(54.1, 56.0, 148)","(48.4, 50.3, 1130)"
ALLCARGO,"(124.0, 129.3, 198)","(129.3, 134.6, 225)","(134.6, 139.9, 415)","(139.9, 145.2, 134)","(145.2, 150.5, 665)","(150.5, 155.8, 1236)","(155.8, 161.1, 498)","(161.1, 166.4, 198)","(166.4, 171.7, 67)","(171.7, 177.0, 65)","(150.5, 155.8, 1236)"
AMARAJABAT,"(769.0, 782.4, 230)","(782.4, 795.8, 447)","(795.8, 809.2, 838)","(809.2, 822.6, 588)","(822.6, 836.0, 110)","(836.0, 849.4, 280)","(849.4, 862.8, 489)","(862.8, 876.2, 477)","(876.2, 889.6, 188)","(889.6, 903.0, 60)","(795.8, 809.2, 838)"
AMBUJACEM,"(210.0, 214.3, 85)","(214.3, 218.6, 182)","(218.6, 222.9, 117)","(222.9, 227.2, 112)","(227.2, 231.5, 379)","(231.5, 235.8, 501)","(235.8, 240.1, 881)","(240.1, 244.4, 699)","(244.4, 248.7, 580)","(248.7, 253.0, 173)","(235.8, 240.1, 881)"
ANDHRABANK,"(33.0, 34.4, 45)","(34.4, 35.8, 173)","(35.8, 37.2, 315)","(37.2, 38.6, 633)","(38.6, 40.0, 531)","(40.0, 41.4, 313)","(41.4, 42.8, 652)","(42.8, 44.2, 813)","(44.2, 45.6, 174)","(45.6, 47.0, 60)","(42.8, 44.2, 813)"
APOLLOHOSP,"(996.0, 1015.3, 149)","(1015.3, 1034.6, 413)","(1034.6, 1053.9, 425)","(1053.9, 1073.2, 449)","(1073.2, 1092.5, 1002)","(1092.5, 1111.8, 582)","(1111.8, 1131.1, 268)","(1131.1, 1150.4, 151)","(1150.4, 1169.7, 193)","(1169.7, 1189.0, 78)","(1073.2, 1092.5, 1002)"
APOLLOTYRE,"(251.0, 256.7, 142)","(256.7, 262.4, 376)","(262.4, 268.1, 591)","(268.1, 273.8, 82)","(273.8, 279.5, 170)","(279.5, 285.2, 241)","(285.2, 290.9, 1042)","(290.9, 296.6, 825)","(296.6, 302.3, 214)","(302.3, 308.0, 25)","(285.2, 290.9, 1042)"
ARVIND,"(375.0, 382.0, 79)","(382.0, 389.0, 348)","(389.0, 396.0, 522)","(396.0, 403.0, 330)","(403.0, 410.0, 609)","(410.0, 417.0, 642)","(417.0, 424.0, 586)","(424.0, 431.0, 450)","(431.0, 438.0, 110)","(438.0, 445.0, 33)","(410.0, 417.0, 642)"
ASAHIINDIA,"(330.0, 335.6, 495)","(335.6, 341.2, 120)","(341.2, 346.8, 357)","(346.8, 352.4, 522)","(352.4, 358.0, 478)","(358.0, 363.6, 319)","(363.6, 369.2, 323)","(369.2, 374.8, 41)","(374.8, 380.4, 138)","(380.4, 386.0, 48)","(346.8, 352.4, 522)"
ASHOKLEY,"(139.0, 141.9, 152)","(141.9, 144.8, 330)","(144.8, 147.7, 965)","(147.7, 150.6, 690)","(150.6, 153.5, 329)","(153.5, 156.4, 155)","(156.4, 159.3, 108)","(159.3, 162.2, 320)","(162.2, 165.1, 518)","(165.1, 168.0, 141)","(144.8, 147.7, 965)"
ASHOKA,"(223.0, 230.2, 650)","(230.2, 237.4, 209)","(237.4, 244.6, 115)","(244.6, 251.8, 307)","(251.8, 259.0, 101)","(259.0, 266.2, 738)","(266.2, 273.4, 906)","(273.4, 280.6, 304)","(280.6, 287.8, 341)","(287.8, 295.0, 10)","(266.2, 273.4, 906)"
