Company Name,Industry,Symbol,Series,ISIN Code
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Infibeam Incorporation Ltd.,IT,INFIBEAM,EQ,INE483S01020
Infosys Ltd.,IT,INFY,EQ,INE009A01021
KPIT Technologies Ltd.,IT,KPIT,EQ,INE836A01035
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
