Company Name,Industry,Symbol,Series,ISIN Code
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,EQ,INE455T01018
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
