Company Name,Industry,Symbol,Series,ISIN Code
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
